run,variant,problem,best_value,nodes,elapsed,max_depth,avg_depth,optimal
5,vol_k,alkyl.bch,-1.76446,148,0.249399,NA,NA,1
3,vol_k,alkyl.bch,-1.76446,148,0.247479,NA,NA,1
2,vol_k,alkylbis.bch,-1.76426,106,0.138849,NA,NA,1
5,vol_k,alkylbis.bch,-1.76426,106,0.138561,NA,NA,1
0,vol_k,alkylbis.bch,-1.76426,106,0.185512,NA,NA,1
1,vol_k,alkylbis.bch,-1.76426,106,0.186853,NA,NA,1
6,vol_k,alkylbis.bch,-1.76426,106,0.174345,NA,NA,1
4,vol_k,alkylbis.bch,-1.76426,106,0.183526,NA,NA,1
3,vol_k,alkylbis.bch,-1.76426,106,0.188291,NA,NA,1
8,vol_k,alkylbis.bch,-1.76426,106,0.178954,NA,NA,1
7,vol_k,alkylbis.bch,-1.76426,106,0.184307,NA,NA,1
9,vol_k,alkylbis.bch,-1.76426,106,0.184831,NA,NA,1
1,vol_k,bearing.bch,1.95108,9350,12.1404,NA,NA,1
8,vol_k,bearing.bch,1.95108,9350,12.17,NA,NA,1
4,vol_k,bearing.bch,1.95108,9350,14.2113,NA,NA,1
5,vol_k,bearing.bch,1.95108,9350,14.6294,NA,NA,1
7,vol_k,bearing.bch,1.95108,9350,14.7414,NA,NA,1
0,vol_k,bearing.bch,1.95108,9350,15.094,NA,NA,1
2,vol_k,bearing.bch,1.95108,9350,15.1984,NA,NA,1
6,vol_k,bearing.bch,1.95108,9350,15.1547,NA,NA,1
3,vol_k,bearing.bch,1.95108,9350,15.2288,NA,NA,1
9,vol_k,bearing.bch,1.95108,9350,15.1878,NA,NA,1
0,vol_k,ex14_2_3.bch,1.31417e-09,15294,12.2395,NA,NA,1
1,vol_k,ex14_2_3.bch,1.31417e-09,15294,15.2454,NA,NA,1
7,vol_k,ex14_2_3.bch,1.31417e-09,15294,12.6302,NA,NA,1
2,vol_k,ex14_2_3.bch,1.31417e-09,15294,14.2816,NA,NA,1
9,vol_k,ex14_2_3.bch,1.31417e-09,15294,14.4024,NA,NA,1
4,vol_k,ex14_2_3.bch,1.31417e-09,15294,15.17,NA,NA,1
3,vol_k,ex14_2_3.bch,1.31417e-09,15294,15.5584,NA,NA,1
6,vol_k,ex14_2_3.bch,1.31417e-09,15294,15.1156,NA,NA,1
5,vol_k,ex14_2_3.bch,1.31417e-09,15294,15.2128,NA,NA,1
